KW,CHWTON,HTmmBTU,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,wet_bulb_temperature,altimeter,DayOfYear_cos,Combined mmBTU,GHG
13641.35,6088.380282,3344.117647,14.4,-7.8,971.1,1010.3,5.5,1010.8,0.99992592,78.66,7.406
13752.42,5918.978873,3432.352941,13.3,-6.7,971.1,1010.3,5.2,1010.8,0.99992592,78.77,7.466
13761.52,5997.429577,3400,11.7,-5,971.1,1010.5,4.8,1010.8,0.99992592,78.96,7.472
13713.8,5802.394366,3455.882353,11.7,-6.7,971.1,1010.3,4.3,1010.8,0.99992592,78.32,7.443
13442.95,6010.246479,3500,12.2,-6.1,971.1,1010.4,4.8,1010.8,0.99992592,78.26,7.3
13599.95,5849.683099,3600,9.4,-4.4,971.4,1010.7,3.8,1011.2,0.99992592,78.58,7.383
13218.83,6481.65493,3579.411765,11.1,-6.1,971.4,1010.7,4.2,1011.2,0.99992592,79.36,7.177
13214.5,6295.739437,3747.058824,9.4,-5.6,971.4,1010.7,3.5,1011.2,0.99992592,79.28,7.171
12593.3,6469.471831,3738.235294,8.3,-6.1,971.7,1011,2.7,1011.5,0.99992592,77.73,6.667
12687.86,6340.176056,3523.529412,8.9,-6.1,972,1011.5,3,1011.9,0.99992592,74.01,5.234
12782.42,7395.492958,3335.294118,7.8,-5.6,972.4,1011.7,2.6,1012.2,0.99992592,78.66,4.432
12876.98,8448.908451,2970.588235,8.3,-6.1,972.7,1011.8,2.7,1012.5,0.99992592,82.83,4.740666667
13038.53,9464.788732,2800,6.1,-4.4,973,1012.4,2,1012.9,0.99992592,86.27,5.049333333
13120.1,10287.42958,2744.117647,6.1,-5.6,973.7,1013,1.6,1013.5,0.99992592,89.16,5.358
13301.9,10675.10563,2697.058824,5.6,-5.6,974.7,1014.2,1.3,1014.6,0.99992592,90.94,5.666666667
13542.16,10421.30282,2682.352941,5,-5.6,975.6,1015.1,1,1015.6,0.99992592,96.96,5.975333333
13782.42,10167.5,2708.823529,7.2,-5,976.6,1016.1,2.4,1016.6,0.99992592,96.01,6.284
13292.23,9913.697183,2876.470588,9.4,-6.1,977.9,1017.5,3.3,1017.9,0.99992592,91.95,6.852
13204.17,9659.894366,2985.294118,11.7,-5.6,978.6,1018,4.7,1018.6,0.99992592,88.12,6.969
12993.15,8867.253521,3064.705882,13.9,-6.1,977.9,1017.6,5.6,1017.9,0.99992592,84.98,7.054
12851.38,8546.161972,3182.352941,15.6,-7.2,977.9,1017.2,6.2,1017.9,0.99992592,83.8,6.977
12581.2,7739.049296,3185.294118,17.2,-7.2,977.6,1017,7,1017.6,0.99992592,80.13,6.834
12266.25,7152.992958,3317.647059,17.8,-7.2,977.6,1017,7.3,1017.6,0.99992592,77.51,6.663
11582.92,6191.021127,3344.117647,17.2,-7.2,977.9,1017.4,7,1017.9,0.99992592,71.99,6.287
11656.10667,5425.457746,3520.588235,17.8,-7.2,978.9,1018.2,7.3,1019,0.9997037,68.46,6.048
11729.29333,5412.816901,3576.470588,15.6,-6.1,979.2,1018.7,6.5,1019.3,0.9997037,68.69,6.06
11802.48,5566.901408,3564.705882,13.9,-6.1,979.6,1019.4,5.7,1019.6,0.9997037,71.37,6.407
11732.4,5729.753521,3650,12.8,-5.6,979.9,1019.8,5.2,1020,0.9997037,71.97,6.369
12139.21667,5498.169014,3867.647059,11.7,-5.6,980.6,1020.2,4.7,1020.7,0.9997037,70.77,6.188
12546.03333,5424.683099,3970.588235,10.6,-5,980.9,1020.6,4.2,1021,0.9997037,72.12,6.386
12952.85,6109.964789,4000,9.4,-3.9,981.5,1021.3,4,1021.7,0.9997037,78.62,7.035
13019.33,6093.098592,4167.647059,8.3,-3.9,981.5,1021.2,3.4,1021.7,0.9997037,79.36,7.06
12553.23,6263.239437,4029.411765,7.2,-5,981.5,1021.2,2.4,1021.7,0.9997037,77.87,6.504
12166.5,6059.683099,3838.235294,6.7,-4.4,982.2,1021.8,2.3,1022.4,0.9997037,75.22,5.468
13015.22,7374.859155,3750,6.7,-4.4,982.9,1022.5,2.3,1023,0.9997037,82.3,4.759
13051.25,7910.211268,3394.117647,6.1,-3.9,982.5,1022.3,2.2,1022.7,0.9997037,83.03,5.030166667
13203.02,8817.077465,2985.294118,5,-3.9,982.9,1022.5,1.5,1023,0.9997037,85.25,5.301333333
13144.95,9614.894366,2888.235294,5,-5,983.5,1023.3,1.2,1023.7,0.9997037,87.44,5.5725
13331.35,9781.373239,2820.588235,5.6,-6.1,984.2,1024.1,1.2,1024.4,0.9997037,88.41,5.843666667
13158.13333,9559.163732,2829.411765,5,-6.1,984.5,1024.3,0.9,1024.7,0.9997037,91.76,6.114833333
12984.91667,9336.954225,2773.529412,7.8,-6.1,984.5,1024.5,2.4,1024.7,0.9997037,94.96,6.386
12811.7,9114.744718,2888.235294,9.4,-6.7,985.2,1025,3.2,1025.4,0.9997037,87.51,6.629
12750.58,8892.535211,3017.647059,11.1,-6.1,985.2,1025.1,4.2,1025.4,0.9997037,84.07,6.822
12604.7,8291.478873,3085.294118,12.8,-6.1,984.2,1023.9,5.1,1024.4,0.9997037,81.75,6.842
12386.98,7683.06338,3258.823529,15,-6.1,982.9,1022.4,6.2,1023,0.9997037,79.53,6.724
11821.52,6957.112676,3288.235294,15,-6.1,981.9,1021.5,6.2,1022,0.9997037,75.23,6.419
11491.9,6149.084507,3291.176471,15.6,-6.7,981.9,1021.5,6.4,1022,0.9997037,71.35,6.235
11822.13,6234.471831,3358.823529,16.7,-6.7,981.5,1021.2,6.9,1021.7,0.9997037,73.01,6.42
11864.1975,5534.260563,3514.705882,16.7,-6.7,981.2,1021,6.9,1021.3,0.999333408,69.29,6.125
11906.265,5354.859155,3567.647059,15,-6.1,981.5,1021.2,6.2,1021.7,0.999333408,68.54,6.074
11948.3325,5094.683099,3626.470588,12.8,-5,981.9,1021.7,5.4,1022,0.999333408,68.07,6.107
11990.4,5708.06338,3750,12.2,-5,981.9,1021.6,5.1,1022,0.999333408,73.12,6.51
11930.315,5321.267606,3864.705882,10.6,-3.3,981.9,1021.7,4.7,1022,0.999333408,70.41,6.228
11870.23,5423.204225,3952.941176,9.4,-3.3,981.9,1021.8,4.2,1022,0.999333408,72.42,6.445
12670.95,5532.992958,4079.411765,8.3,-3.3,981.5,1021.2,3.6,1021.7,0.999333408,75.96,6.878
13039.83,6162.007042,4205.882353,7.8,-3.9,981.5,1021.2,3.1,1021.7,0.999333408,79.8,7.079
12917.35,6028.450704,4179.411765,7.2,-4.4,981.5,1021.1,2.6,1021.7,0.999333408,78.83,6.838
12740.8,6454.330986,3858.823529,6.7,-5,981.5,1021.3,2.1,1021.7,0.999333408,78.59,5.59
12694.75,6882.429577,3741.176471,6.1,-4.4,981.5,1021.1,2,1021.7,0.999333408,79.49,5.189
12766.98,7344.366197,3411.764706,5.6,-4.4,981.5,1021.1,1.7,1021.7,0.999333408,80.19,4.826
12996.3,8025.56338,2979.411765,5.6,-5,981.5,1021.1,1.5,1021.7,0.999333408,81.82,5.0688
13112.88,9160.598592,2902.941176,4.4,-5,981.9,1021.6,0.9,1022,0.999333408,85.83,5.3116
13124.73,9967.394366,2788.235294,4.4,-4.4,982.2,1022.1,1,1022.4,0.999333408,88.23,5.5544
13255.15,9709.591549,2767.647059,4.4,-5,982.2,1021.9,0.9,1022.4,0.999333408,90.53,5.7972
13264.935,9451.788732,2761.764706,7.2,-5.6,982.5,1022.3,2.3,1022.7,0.999333408,92.23,6.04
13274.72,9193.985915,2894.117647,8.9,-5.6,983.2,1023,3.2,1023.4,0.999333408,90.21,6.816
13165.1,8936.183099,2979.411765,10.6,-5,983.2,1023.1,4.3,1023.4,0.999333408,86.58,7.064
12843.63,8678.380282,3008.823529,13.3,-6.1,982.2,1021.9,5.4,1022.4,0.999333408,83.63,6.975
